asia_100_1 | 0.051 | 0.014 | 0.065
asia_100_2 | 0.071 | 0.012 | 0.083
asia_100_3 | 0.074 | 0.018 | 0.092
asia_100_4 | 0.056 | 0.015 | 0.071
asia_100_5 | 0.007 | 0.038 | 0.045
asia_100_6 | 0.007 | 0.002 | 0.009
asia_100_7 | 0.008 | 0.055 | 0.063
asia_100_8 | 0.068 | 0.015 | 0.083
asia_100_9 | 0.044 | 0.01 | 0.054
asia_100_10 | 0.048 | 0.013 | 0.061
asia_100_11 | 0.055 | 0.017 | 0.072
asia_100_12 | 0.054 | 0.018 | 0.072
asia_100_13 | 0.068 | 0.018 | 0.086
asia_100_14 | 0.067 | 0.02 | 0.087
asia_100_15 | 0.049 | 0.010 | 0.059
asia_100_16 | 0.046 | 0.010 | 0.056
asia_100_17 | 0.039 | 0.010 | 0.049
asia_100_18 | 0.063 | 0.014 | 0.077
asia_100_19 | 0.062 | 0.012 | 0.074
asia_100_20 | 0.062 | 0.016 | 0.078
asia_1000_1 | 0.071 | 0.022 | 0.093
asia_1000_2 | 0.065 | 0.027 | 0.092
asia_1000_3 | 0.053 | 0.02 | 0.073
asia_1000_4 | 0.052 | 0.02 | 0.072
asia_1000_5 | 0.070 | 0.026 | 0.096
asia_1000_6 | 0.057 | 0.018 | 0.075
asia_1000_7 | 0.059 | 0.023 | 0.082
asia_1000_8 | 0.060 | 0.032 | 0.092
asia_1000_9 | 0.055 | 0.023 | 0.078
asia_1000_10 | 0.049 | 0.020 | 0.069
asia_1000_11 | 0.071 | 0.024 | 0.095
asia_1000_12 | 0.052 | 0.020 | 0.072
asia_1000_13 | 0.055 | 0.027 | 0.082
asia_1000_14 | 0.066 | 0.030 | 0.096
asia_1000_15 | 0.044 | 0.018 | 0.062
asia_1000_16 | 0.061 | 0.020 | 0.081
asia_1000_17 | 0.046 | 0.020 | 0.066
asia_1000_18 | 0.052 | 0.025 | 0.077
asia_1000_19 | 0.047 | 0.016 | 0.063
asia_1000_20 | 0.058 | 0.029 | 0.087
asia_10000_1 | 0.090 | 0.047 | 0.137
asia_10000_2 | 0.081 | 0.041 | 0.122
asia_10000_3 | 0.060 | 0.048 | 0.108
asia_10000_4 | 0.083 | 0.039 | 0.122
asia_10000_5 | 0.084 | 0.051 | 0.135
asia_10000_6 | 0.086 | 0.047 | 0.133
asia_10000_7 | 0.066 | 0.047 | 0.113
asia_10000_8 | 0.084 | 0.047 | 0.131
asia_10000_9 | 0.062 | 0.037 | 0.099
asia_10000_10 | 0.078 | 0.039 | 0.117
asia_10000_11 | 0.111 | 0.059 | 0.17
asia_10000_12 | 0.093 | 0.046 | 0.139
asia_10000_13 | 0.088 | 0.055 | 0.143
asia_10000_14 | 0.084 | 0.049 | 0.133
asia_10000_15 | 0.075 | 0.046 | 0.121
asia_10000_16 | 0.077 | 0.046 | 0.123
